Theme Camp Name,"In what ""genres"" would you classify your camp? Check all that apply.",Public Camp Description,present_in_forms_camps_csv,present_in_dust_camps_csv,prioritized_source
A Little Bit All Over The Place,"Serving Food, Jam band and art","Soup soup!!! We bring great food and well, whatever else we can muster up really. Smoked cookies, a table of stamps, paints and colored pencils, wire wrapping, jam sessions, and whatever else we manage to think of. At the end of the day we really are just A Little Bit All Over The Place.",True,True,dust/camps_forms.csv
Abiding Grove,"Bar, Wellness/Spiritual/Chill/Relaxed, Games / Play","Abiding Grove – Dudeism Camp\n\nStep into a laid-back sanctuary of play, story, and connection. Abiding Grove channels the spirit of Dudeism with a welcoming lounge atmosphere where burners can gather, unwind, and engage.\n\nMornings feature our Conspiracay Coffee Bar serving coffee and tea to ease into the day. As the sun sets, the space transforms into an open-air cinema with Lebowski-inspired films, paired with snacks and White Russians.\n\nThroughout the day, enjoy a variety of interactive games including Disc-O-Golf, bocce, Magic Stones, Truth-or-Dare Jenga, and classic dice and card games. Relax in our hammock-filled lounge and stay awhile.\n\nAbide, play, and connect.",True,True,dust/camps_forms.csv
Acid Communism,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed, political education and transformation of default world","What if default world didn’t exist? Join us in imagining a world where exploitative capitalism is not the only possible reality. We’ve got free food, interactive art, and community where we’re building a world where the burn can live everywhere. We are the original home of the Nail Polish Glory Hole! — insert your boring hand in the hole and get a glorious nail polish surprise! We also host the Sparkle Pony Express, where you can write letters to burners and deliver them by pony.",True,True,dust/camps_forms.csv
Ad Fontes,Music / Party,Vinyl Driven Twisted Disco,True,True,dust/camps_forms.csv
Adventures Beyond,Adults Only,"A camp centered around whimsy and fun through TTRPG systems like D&D and VTM, as well as some light foam sword fighting lessons during the day.",True,True,dust/camps_forms.csv
Ah-Mazing!,"Kids Welcome, Wellness/Spiritual/Chill/Relaxed",Stop by and play our maze wall ball game and other carnival-style games!,True,True,dust/camps_forms.csv
Astro-nots,Fake Science and Horror,"Where bad science makes great sense and the truth is actively avoided. We are the premier destination for reverse pioneers, certified tin foil engineers and amateur monster hunters. Our mission is to explore the deep cosmos, hidden forests and bottomless lakes using zero peer-reviewed data and 100% unadulterated imagination.",True,True,dust/camps_forms.csv
Bacchanalia,Serving Food,"Makers of mischief, rowdy revelers.",True,True,dust/camps_forms.csv
Banana Hammocks,"Serving Food, Bar, Wellness/Spiritual/Chill/Relaxed","You know us at Love Burn, you've enjoyed us at BRC now it's time to go TO THE MOON! Bananas, Hammocks and fun shenanigans!",True,True,dust/camps_forms.csv
Bark Park,"Serving Food, Kids Welcome, Adults Only, Wellness/Spiritual/Chill/Relaxed, SATURDAY MORNING PANCAKES!",Welcome to Camp Bark Park! A group of fun loving pups each on our own journey to share and explore the plethora of experiences at To The Moon! Stop by and rest your paws a bit in our large comfortable shade structure on your way to your next adventure!  Come share some wags at Camp Bark Park! DONT MISS OUT ON SATURDAY MORNING PANCAKES!,True,True,dust/camps_forms.csv
Bear Necessities,Wellness/Spiritual/Chill/Relaxed,A chill space to escape the heat and hydrate! We have ALL the Bear Necessities 🐻,True,True,dust/camps_forms.csv
Big Fluffy Cloud,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",The fluff that needs to be seen to be believed.,True,True,dust/camps_forms.csv
Big Spooky Energy,Were a haunted house,"Come join us for all things spooky! We have some carnival style games, a spooky chill space, and a full walk through haunted house. Whatever level of spooky youre into, we've got something for you!",True,True,dust/camps_forms.csv
Bingopalooza,"Fun, entertainment, a place to find home that is not in open camping. We hate getting lost.",BINGOPALOOZA is invading CENTER CAMP.\n\n🔥🎱🔥🎱🔥🔥🎱🔥🎱🔥🔥\n\nWe are bringing you a low budget production but high energy bingo with incredible gifts to win! We’ve got silly and oh shit I didn’t know I needed that gifts!\n\nThe only thing you need to bring is yourself and watch us professionally handle the balls! 😉\n\nIt’s not polished. It’s not sponsored. It is aggressively joyful.,True,True,dust/camps_forms.csv
CAMP NOT YOUR MOM,"Wellness/Spiritual/Chill/Relaxed, Known place for burners to find safety",camp home from home but I’m not your mom we are a ranger support camp for the loves that wonder so we can spacewalk safely also come take a picture with a pair of wings will have to where anyone can take a photo with this amazing tapestry,True,True,dust/camps_forms.csv
Cameo’s Closet,"Kids Welcome, Clothing Exchange","A clothing exchange with a boutique experience, offering glamorous garments, two fitting rooms, and a vanity drawer full of goodies like body glitter, temporary tattoos, and more!",True,True,dust/camps_forms.csv
Camp Camp,Wellness/Spiritual/Chill/Relaxed,Making our To The Moon Debut. Here to provide a fun comfortable cuddle space to hang out and recharge. Maybe some spontaneous yoga classes and dance workshops.,True,True,dust/camps_forms.csv
Camp Pretty Lights,"Music / Party, Adults Only","Come, be dazzled by our Pretty Lights and Shadowbox with friends both new and old. We are an original all-purpose hippie trap and beacon of luminescence. Join us for Metal Hour on Friday @ 4pm",True,True,dust/camps_forms.csv
Camp Procrastination,"Um... chill & relaxed, but not really ""wellness"".","We were going to write a cool-sounding description but got busy... it’s on our to-do list, really... But you can come by any time and absolve yourself of your *own* procrastination! Write down things you’ve been putting off onto one of our blank “to-do” lists. We’ll burn these in the temple burn... or maybe the next weekend in our backyard... depends on when we get around to it... to help give energy to the things you want to accomplish.  :)",True,True,dust/camps_forms.csv
Cool as Fuck!,Bar,We are a bar camp and we are Cool as Fuck!,True,True,dust/camps_forms.csv
Crappy Bar,Bar,Come for a crappy drink. Leave because of the crappy jokes. But don't be hatin' on our crappy music 'cuz we just happy to be here...maybe.,True,True,dust/camps_forms.csv
Creature Comforts,"Wellness/Spiritual/Chill/Relaxed, Giving/gifting","Uh-oh! Did you leave something small but mighty at camp??\n\nCreature Comforts is a cozy camp of seasoned burners offering the little things that make a big difference. From bandaids to earplugs, we’ve got you covered (we hope!). \n\nRooted in gifting and care, we try to help with the little things burners may have forgotten to keep you comfortable, grounded, and ready for the magic, day and night.",True,True,dust/camps_forms.csv
Cult of Pawpaw,"Music / Party, Adults Only",The largest native fruit in the USA. We rejoice him,True,True,dust/camps_forms.csv
DreamCamp,"Serving Food, Wellness/Spiritual/Chill/Relaxed",Come join us for mellow relaxation and connective nurturing.,True,True,dust/camps_forms.csv
EleMENTAL,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",Home of the Breakfast Bitches. Bevvy Bitches by night. Crafty Bitches welcome.,True,True,dust/camps_forms.csv
Fantasy Island,"Serving Food, Music / Party, Adults Only","Feeling adrift? Set sail for Fantasy Island and anchor yourself in good company, chill vibes, and alluring atmosphere, or splash around in our cool tunes. Fantasy Island, we'll be wading...",True,True,dust/camps_forms.csv
Flow As You Go,"Music / Party, Kids Welcome, Flow Arts","Daytime shaded flowzone with pop-up classes and chill music on decks\nA cool down spot for hot hippies.  Spin things, dance, or just hang out.\nCome as you are, flow as you go.",True,True,dust/camps_forms.csv
Fuzzy Wuzzy,"Music / Party, Bar, Wellness/Spiritual/Chill/Relaxed","Come join our psychedelic slumber party, to have all the fun with all your best friends you've always been wanting.",True,True,dust/camps_forms.csv
Galactic Printers,"Wellness/Spiritual/Chill/Relaxed,","Bring your spare clothes to us, and we'll jazz them up with our own blockprints! We'll have a variety of cosmic, hand-carved stamps and different ink colors to choose from.",True,True,dust/camps_forms.csv
Garden Party,"Serving Food, Music / Party, Kids Welcome, 24/7 open chill space","A little bit of Alice in Wonderland. A little bit of Little Shop of Horrors. A lot of whimsy and magic! Garden Party is a celebration of plants, pastries, people and participation! Join us for tea parties and merry making. Weary travelers welcome!",True,True,dust/camps_forms.csv
Georgia Peanuts,Serving Food,"Wikipedia says, boiled peanuts are widely consumed and available in an area of the Southern United States. That describes us exactly. Guests are welcome to enjoy a cup full of boiled, salty nuts. (Food Allergy Warning: May contain peanut products.). If you are needing a different kind of help, our favorite peanut, Lucy, will be offering psychiatric assistance at her booth.",True,True,dust/camps_forms.csv
Go Outside Nerd,Mediveal Rennfaire,We don't have time for worthless chime-ins. Grab a foam weapon and start swinging.,True,True,dust/camps_forms.csv
